Time,ATP,NAD,NADH,PEP,G6P,ADP,Pint,F6P,FBP,G3P,BPG,PYR,AcetCoA,Acetoin,Mannitol,Mannitol1Phosphate,CoA,Pext,Lactate,Ethanol,Acetate,Butanediol,Glucose,Acetoin_Ext,Mannitol_Ext,Formate,compartment_1,compartment_2,re12,re13,re14,re15,re16,re17,re18,re20,re21,re22,re23,re24,re25,re26,re27,re28,re29,re30,re31,re32,re33
0.0,4.886325088793936,2.0333793928353406e-06,2.0333793928353406e-06,2.4790177588998086,0.0,20.385690530831894,38.26,0.0,15.299999999999999,0.0,1.2634853124469192,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.047,1.0,0.2339865462757834,0.09088384229546843,1.8849581096544115e-05,0.0,0.0,2.5873042607901096,-0.00012894150000091113,1.2847844493121623,7.20845013531783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7995666072633535e-05
7.8,3.4029024970442965,0.561596398260429,0.561596398260429,5.717140061919249,0.7006212797522184,21.86911312258155,10.346737267941029,0.2405460349881976,25.14858325449385,1.1632615529556154,0.04449162461008431,0.0009747617587617984,2.235938677376896e-08,2.7219714740478936e-07,0.0006771288363945893,1.4504836280912157,0.999999977640614,49.999081828820955,1.8151792900448256,1.949251321767431e-09,2.8175561378570647e-06,5.19315224258481e-07,78.4418400933852,2.9227167254004795e-05,0.0004071838566437851,2.8205562803572234e-06,0.047,1.0,0.1553409604015145,0.05025803527940123,0.0005811207544832589,0.15720975865501308,0.15523145836210167,0.10192270258969535,0.20258856192020855,0.20263073640557647,0.003781475271169085,0.20685990784955047,1.0583152747304566e-07,4.1958553306609126e-11,1.0604790441178162e-07,2.2839186930718505e-07,4.004154481605242e-09,0.002768678648680651,0.04775266240662102,0.04772719815666198,2.3021490459116083e-07,0.04775172837333536,0.00024742069270824074
15.6,5.729177940122574,0.021708287505499503,0.021708287505499503,5.109846875481264,0.5606966230233759,19.542837679503286,2.2556686993537247,0.19762991375472688,28.641266022479062,1.2358979610206797,0.07671408157977959,0.0031302506030686864,7.442410856130807e-08,2.790260132215312e-06,0.0006662219946706337,1.4185067059714245,0.9999999255758923,49.59717137788544,3.7016782565084725,1.986102164366777e-09,5.719123118584707e-06,5.355535424157274e-07,77.35623055136604,6.308363358669368e-05,0.0004292065600732608,5.724607153851472e-06,0.047,1.0,0.13306967108837175,0.10774581524511367,0.0706476230847743,0.13332326913926626,0.13526118520687824,0.12429123182511624,0.24835707566812767,0.2483190662348223,0.06895699223971267,0.24904446537398933,3.256061214181422e-07,1.3964049371475474e-13,3.2594492450204864e-07,2.3357745551777756e-06,1.4659693657573722e-09,-0.0007923275760435547,0.047003483598358924,0.047009537179702514,2.3598907552084142e-06,0.04700375441566051,0.0010649058671764835
23.4,5.943031999537098,0.034179390193850634,0.034179390193850634,4.99802242056706,0.5226177092565926,19.328983620088763,2.410890038254553,0.18554580256984002,30.255174753016465,1.2718723565842924,0.07716817877914851,0.002028217680700033,4.760612618316478e-08,1.1681680383191302e-06,0.0006226825934347309,1.2950219883295908,0.9999999523938752,49.084929015687884,5.592114479945535,1.987526370295229e-09,7.693606512624277e-06,5.445430629271046e-07,76.34514926414263,7.455873859993115e-05,0.0003874703992056273,7.6978315269252e-06,0.047,1.0,0.1263234209490345,0.11125821855506052,0.06199169100554196,0.126527547154248,0.12836491682145146,0.11798163084027208,0.23575887819434704,0.23577162308216312,0.06606192447396704,0.23640887674514494,2.0675668659340937e-07,2.1850243843543287e-13,2.0684564350903218e-07,9.848144468814712e-07,9.518592193921985e-10,-0.0007121555769377152,0.044016801711097876,0.0440220947071415,9.879891841029192e-07,0.04401705684890491,0.00106028968184062
31.2,5.938623094551521,0.04400444302759644,0.04400444302759644,4.8981791772188235,0.4922801419683557,19.33339252507434,2.483815631550176,0.17585334188249083,31.726668446399863,1.3037390726701246,0.07462038238668325,0.0015877530024217049,3.660574375011207e-08,7.160441840887552e-07,0.0005815421826447921,1.1834842793758262,0.9999999633942577,48.621769240117125,7.3963277490668355,1.9894715717579345e-09,9.102542554115364e-06,5.510699469457339e-07,75.38270627431375,8.056933157524554e-05,0.00035021175873179117,9.10625249564339e-06,0.047,1.0,0.12063164244184975,0.11118870065631552,0.05700816644043387,0.1207956683966343,0.12256886169828346,0.11304489028294691,0.2259090347937914,0.22592540285940052,0.06467243320295374,0.22649284271347486,1.5902607455397528e-07,2.795421761643357e-13,1.5907572539417374e-07,6.045439404361879e-07,7.420158849601634e-10,-0.0006418516285058618,0.04118393641191134,0.041188693667073645,6.056007801050004e-07,0.04118417654743827,0.0010786810436055599
39.0,5.901142024930084,0.053414656860947894,0.053414656860947894,4.8098612081575185,0.46748194718651775,19.370873594695777,2.5404011632508205,0.16785720575636479,33.0706739532429,1.3322077011219975,0.07193844707946914,0.001319321867044877,2.9904979902108676e-08,4.944789058555042e-07,0.000543195132424485,1.0837400953124088,0.9999999700950215,48.1930648621421,9.128965547396882,1.9918828239387976e-09,1.0222455228469188e-05,5.563265584927443e-07,74.4609547181483,8.44886642805235e-05,0.00031704159243621906,1.0225852645348548e-05,0.047,1.0,0.11584257942853629,0.11059287029755681,0.053038222198926205,0.11597901492190392,0.11768937711290947,0.10880830913883927,0.21745343232710035,0.21746914138288712,0.06358477043413657,0.2179659900748828,1.3010599557459927e-07,3.3862924634755933e-13,1.3013833843105605e-07,4.1784136241448944e-07,6.149089263721538e-10,-0.0005685146184404353,0.038533997826616505,0.03853820278716186,4.1820977870629125e-07,0.038534219124137736,0.0010976597095788483
46.8,5.853915574143955,0.06261147590345614,0.06261147590345614,4.733573365688115,0.44658613033472994,19.418100045481903,2.5891467276066455,0.16106311945544433,34.31811166166135,1.3581165366099357,0.06945278827352389,0.001136412628115981,2.5357070052053575e-08,3.668892553239369e-07,0.0005083260347822405,0.9963760671531513,0.9999999746429313,47.79277438383531,10.799298696722037,1.9947532676359143e-09,1.1156567810129759e-05,5.607679753218786e-07,73.57384000640559,8.72947627644655e-05,0.0002881265152550909,1.1159754345689864e-05,0.047,1.0,0.11171940225448479,0.10982967242246405,0.04968890309650078,0.1118357319679924,0.11348097295791719,0.10509808587316358,0.21004663444155103,0.2100607855311145,0.06264388803824407,0.21048346598938028,1.1051855180764857e-07,3.9732189558746435e-13,1.105410850642037e-07,3.102321245272892e-07,5.290672651038272e-10,-0.0004916906140051923,0.03611648487475708,0.03612011048229485,3.102996341319812e-07,0.03611668311907439,0.0011155782240642829
54.6,5.805331389887785,0.07154768881624703,0.07154768881624703,4.669632548595497,0.4286298208992232,19.46668422973808,2.6327598895094617,0.15518142658984196,35.486766630896575,1.3819537221797995,0.0672622061246218,0.0010048960902123087,2.2100062574976257e-08,2.86868227516395e-07,0.00047757800551103525,0.9218376515892768,0.9999999778999387,47.41669408925638,12.414832873292584,1.9980795403448857e-09,1.196119742465478e-05,5.646436574441412e-07,72.71679026984918,8.94318801548736e-05,0.0002635932172738012,1.1964234207136174e-05,0.047,1.0,0.10811488681823775,0.10902986777054723,0.046812852111496085,0.10821552326907077,0.1097940534377906,0.1018376432178429,0.2035373003275535,0.20354951176996888,0.061801217237237194,0.20389742352276025,9.650001964840306e-08,4.554195811975087e-13,9.651627966372896e-08,2.4270340945266627e-07,4.680119402570326e-10,-0.00041318634280426887,0.03397841535421945,0.03398145055207402,2.426211221519035e-07,0.033978587143898425,0.0011322626383849365
62.4,5.76021416604484,0.0801024467974881,0.0801024467974881,4.617930262586691,0.4130338199722936,19.51180145358103,2.6726316495455755,0.15003908661726328,36.584543952035915,1.4039705483114087,0.06540743338672479,0.0009076090952134897,1.9697903800904927e-08,2.339876423025273e-07,0.0004514125452958088,0.8601716918941146,0.9999999803020976,47.061486435441864,13.982220903913914,2.0018544401113766e-09,1.2671685916576953e-05,5.681116755143633e-07,71.88613654753792,9.113837140488415e-05,0.00024341707615685226,1.2674613572495735e-05,0.047,1.0,0.10493941940741344,0.10827364655083059,0.0443257632802678,0.10502709746319248,0.10653968040212676,0.09898479385429126,0.19784212851969699,0.19785227985909937,0.06103170101443234,0.1981282373357812,8.615709640649439e-08,5.122173427638592e-13,8.616907743428278e-08,1.9805829963180872e-07,4.2353743145692e-10,-0.0003359343019322549,0.03215435238195351,0.03215681042762752,1.978968974231741e-07,0.03215449506075475,0.0011476471181275964
70.2,5.7213078988954145,0.0881353475512108,0.0881353475512108,4.57783809696712,0.39942798103862237,19.550707720730454,2.7094907598189755,0.14552670122424796,37.613419699989926,1.424282814424071,0.06389412654363616,0.0008345983211316518,1.789732429328151e-08,1.978247876852665e-07,0.00043001241540370917,0.8108967239150539,0.999999982102677,46.724349224200466,15.507604241478415,2.0060644028675806e-09,1.3312097027594285e-05,5.712813148175353e-07,71.07877260362454,9.255535229532992e-05,0.00022738538411646515,1.331494426623897e-05,0.047,1.0,0.10213517585214496,0.10761097494236031,0.042171425422951415,0.1022117222787379,0.10366216417990907,0.09650953345311769,0.19290168766914512,0.1929098057086318,0.06032203851445898,0.19311840393300758,7.839593676355262e-08,5.668252919435283e-13,7.840476473020008e-08,1.6752195791533246e-07,3.908870543777136e-10,-0.00026329319855764835,0.03065931094782213,0.03066123023949204,1.673118469567175e-07,0.03065942554505279,0.0011616937633463391
