time_2	Response_wt_2	time_4	Response_wt_4	time_8	Response_wt_8	time_16	Response_wt_16	time_32	Response_wt_32	time_64	Response_wt_64
NULL	NULL	29.0272	1.30194	53.6905	1.286	NULL	NULL	103.517	1.26336	152.962	1.23874
NULL	NULL	29.4867	1.31124	55.119	1.27167	NULL	NULL	105.798	1.22364	158.887	1.22551
NULL	NULL	30.3611	1.29611	55.4762	1.28769	NULL	NULL	107.51	1.21229	162.118	1.24535
NULL	NULL	30.6724	1.27673	57.2619	1.29359	NULL	NULL	108.935	1.21135	172.89	1.25197
NULL	NULL	31.4453	1.25569	57.7381	1.32226	NULL	NULL	111.502	1.22648	179.354	1.23213
NULL	NULL	NULL	NULL	58.8095	1.38044	NULL	NULL	113.783	1.2208	185.278	1.25008
NULL	NULL	NULL	NULL	59.5238	1.40742	NULL	NULL	114.639	1.23215	191.203	1.25953
NULL	NULL	NULL	NULL	60.8333	1.33069	NULL	NULL	117.776	1.21986	195.512	1.24913
NULL	NULL	NULL	NULL	61.7857	1.29781	NULL	NULL	119.202	1.22648	197.666	1.2378
NULL	NULL	NULL	NULL	62.619	1.27926	NULL	NULL	120.627	1.22175	199.282	1.25008
NULL	NULL	NULL	NULL	63.8095	1.28938	NULL	NULL	124.049	1.2643	199.3	1.56661
NULL	NULL	NULL	NULL	64.7619	1.30624	NULL	NULL	125.475	1.29645	203.591	1.69417
NULL	NULL	NULL	NULL	65.7143	1.33575	NULL	NULL	127.757	1.23593	205.206	1.5137
NULL	NULL	NULL	NULL	66.6667	1.37369	NULL	NULL	129.753	1.38534	206.822	1.39937
NULL	NULL	NULL	NULL	67.5	1.39899	NULL	NULL	131.749	1.4922	208.977	1.3285
NULL	NULL	NULL	NULL	68.8095	1.33744	NULL	NULL	134.316	1.35319	211.67	1.27465
NULL	NULL	NULL	NULL	69.5238	1.30371	NULL	NULL	134.886	1.27943	213.285	1.25386
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	137.452	1.28889	215.978	1.23118
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	140.019	1.25201	221.903	1.21134
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	226.212	1.19339
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	228.366	1.22079
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	232.675	1.21417
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	235.907	1.20189
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	243.447	1.20945
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	248.294	1.24157
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	257.451	1.22929
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	261.759	1.2463
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	264.452	1.22929
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	266.607	1.53449
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	269.3	1.52031
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	271.993	1.4485
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	273.07	1.40409
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	276.302	1.31528
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	278.995	1.27465
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	281.688	1.2652
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	285.458	1.24441
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	291.382	1.22079
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	298.384	1.24535
NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	302.154	1.22551
