t	ci_0_0	CI_0_0	ci_0_1	CI_0_1	ci_0_2	CI_0_2	ci_0_3	CI_0_3	CN_0_0	CN_0_1	CN_0_2	CN_0_3	en_0_0	EN_0_0	en_0_1	EN_0_1	en_0_2	EN_0_2	en_0_3	EN_0_3	EWG1_0_0	EWG1_0_1	EWG1_0_2	EWG1_0_3	EWG2_0_0	EWG2_0_1	EWG2_0_2	EWG2_0_3	EWG3_0_0	EWG3_0_1	EWG3_0_2	EWG3_0_3	EWG4_0_0	EWG4_0_1	EWG4_0_2	EWG4_0_3	EWG5_0_0	EWG5_0_1	EWG5_0_2	EWG5_0_3	EWG6_0_0	EWG6_0_1	EWG6_0_2	EWG6_0_3	EWG_T_0_0	EWG_T_0_1	EWG_T_0_2	EWG_T_0_3	HH1_0_0	HH1_0_1	HH1_0_2	HH1_0_3	HH2_0_0	HH2_0_1	HH2_0_2	HH2_0_3	HH3_0_0	HH3_0_1	HH3_0_2	HH3_0_3	HH4_0_0	HH4_0_1	HH4_0_2	HH4_0_3	HH5_0_0	HH5_0_1	HH5_0_2	HH5_0_3	HH6_0_0	HH6_0_1	HH6_0_2	HH6_0_3	hh_0_0	hh_0_1	hh_0_2	hh_0_3	IWG_0_0	IWG_0_1	IWG_0_2	IWG_0_3	PH1_0_0	PH1_0_1	PH1_0_2	PH1_0_3	PH2_0_0	PH2_0_1	PH2_0_2	PH2_0_3	PH3_0_0	PH3_0_1	PH3_0_2	PH3_0_3	PH4_0_0	PH4_0_1	PH4_0_2	PH4_0_3	PH5_0_0	PH5_0_1	PH5_0_2	PH5_0_3	PH6_0_0	PH6_0_1	PH6_0_2	PH6_0_3	PH_T_0_0	PH_T_0_1	PH_T_0_2	PH_T_0_3	PTC1_0_0	PTC1_0_1	PTC1_0_2	PTC1_0_3	PTC2_0_0	PTC2_0_1	PTC2_0_2	PTC2_0_3	PTC3_0_0	PTC3_0_1	PTC3_0_2	PTC3_0_3	PTC4_0_0	PTC4_0_1	PTC4_0_2	PTC4_0_3	PTC5_0_0	PTC5_0_1	PTC5_0_2	PTC5_0_3	PTC6_0_0	PTC6_0_1	PTC6_0_2	PTC6_0_3	ptc_0_0	ptc_0_1	ptc_0_2	ptc_0_3	PTC_T_0_0	PTC_T_0_1	PTC_T_0_2	PTC_T_0_3	wg_0_0	wg_0_1	wg_0_2	wg_0_3
0	0.05	1E-20	0.05	1E-20	0.05	1E-20	0.05	1E-20	1E-20	1E-20	1E-20	1E-20	0.25	0.25	0.35	0.35	0.55	0.55	0.35	0.35	0.2	0.3	0.2	0.1	0.2	0.3	0.2	0.1	0.2	0.3	0.2	0.1	0.2	0.3	0.2	0.1	0.2	0.3	0.2	0.1	0.2	0.3	0.2	0.1	1.2	1.4	1.2	1	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	0.2	0.3	0.2	0.1	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	6E-20	6E-20	6E-20	6E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	1E-20	6E-20	6E-20	6E-20	6E-20	0.2	0.3	0.2	0.1
5	0.436204158298057	0.0486092490323363	0.0576044152416632	0.0109596884484119	0.0258362364069035	0.00584728028912482	0.0576044187231749	0.0109596888153973	8.346783456844E-08	8.5860305651E-10	1.0854945544E-10	8.5860312045E-10	0.553568671909949	0.347171110180648	0.613092850818366	0.43421496273013	0.732141152148156	0.608302649708317	0.613092805294528	0.434214948129716	0.207824217158221	0.304748665724427	0.207816035473224	0.110562136617976	0.202710119744488	0.302787552175539	0.21292552211286	0.112527860940961	0.202710119744488	0.302787552175539	0.21292552211286	0.112527860940961	0.207824217158221	0.304748665724427	0.207816035473224	0.110562136617976	0.21293362327283	0.302787438724645	0.202702018584518	0.112527974391856	0.21293362327283	0.302787438724645	0.202702018584518	0.112527974391856	1.24627948745123	1.46121562222023	1.24626267027766	1.03194854989396	0.00147447973794465	0.00147448520370738	0.00147448744832394	0.00147448520370732	0.00147448394341363	0.00147448094126474	0.00147448643870315	0.00147448627029736	0.00147448394341363	0.00147448094126474	0.00147448643870315	0.00147448627029736	0.00147447973794465	0.00147448520370738	0.00147448744832394	0.00147448520370732	0.00147448394341366	0.00147448627029739	0.00147448643870311	0.00147448094126472	0.00147448394341366	0.00147448627029739	0.00147448643870311	0.00147448094126472	0.0826293154356749	0.0826293781878524	0.0826294400346605	0.08262937818785	0.0642607185476454	0.0933992127102186	0.0640818693126493	0.0319332302698497	2.7141248246E-10	1.1514066466E-10	7.756568349E-11	1.1514066592E-10	2.7141271455E-10	1.1514056371E-10	7.756561993E-11	1.1514076251E-10	2.7141271455E-10	1.1514056371E-10	7.756561993E-11	1.1514076251E-10	2.7141248246E-10	1.1514066466E-10	7.756568349E-11	1.1514066592E-10	2.7141271455E-10	1.1514076126E-10	7.756561993E-11	1.1514056497E-10	2.7141271455E-10	1.1514076126E-10	7.756561993E-11	1.1514056497E-10	1.62847582312E-09	6.9084397926E-10	4.6539384669E-10	6.9084398679E-10	3.76591782027004E-05	1.50216329001599E-05	9.78435856481009E-06	1.50216331048941E-05	3.7659178202579E-05	1.50216329002365E-05	9.78435856484215E-06	1.50216331048193E-05	3.7659178202579E-05	1.50216329002365E-05	9.78435856484215E-06	1.50216331048193E-05	3.76591782027004E-05	1.50216329001599E-05	9.78435856481009E-06	1.50216331048941E-05	3.7659178202579E-05	1.50216329000852E-05	9.78435856484215E-06	1.50216331049706E-05	3.7659178202579E-05	1.50216329000852E-05	9.78435856484215E-06	1.50216331049706E-05	0.00752921776257715	0.00267098173217008	0.00163115883343514	0.00267098178450759	0.000225955069215717	9.01297974009631E-05	5.87061513889888E-05	9.01297986293681E-05	0.248387203523025	0.349118908904039	0.244686805234725	0.117050543530339
10	0.235443450059205	0.0930456032640618	0.0298266623429088	0.0159372898150388	0.0133498803973283	0.00792521059871429	0.0298266642032547	0.0159372905408843	0.000719327567254799	2.55103457071388E-06	2.0150609969711E-07	2.55103490462301E-06	0.734265370834521	0.51428640423926	0.769696657935001	0.579048218490993	0.840559140763792	0.708571797933921	0.769696586378429	0.579048179114082	0.200330157539372	0.286112761016885	0.199958201563492	0.112874504682041	0.195175696686568	0.284386168960211	0.205089116145184	0.114624643009826	0.195175696686568	0.284386168960211	0.205089116145184	0.114624643009826	0.200330157539372	0.286112761016885	0.199958201563492	0.112874504682041	0.205455604263807	0.284376358318348	0.194809208567945	0.114634453651689	0.205455604263807	0.284376358318348	0.194809208567945	0.114634453651689	1.19870156030254	1.39331496285175	1.19791840578333	1.00571881987311	0.00532915919849074	0.00532946710604507	0.0053295392039804	0.0053294671060412	0.0053294620842841	0.0053291559209727	0.00532947771650768	0.00532953689276313	0.0053294620842841	0.0053291559209727	0.00532947771650769	0.00532953689276313	0.00532915919849074	0.00532946710604507	0.0053295392039804	0.0053294671060412	0.00532946208428782	0.00532953689276343	0.00532947771650396	0.0053291559209724	0.00532946208428782	0.00532953689276343	0.00532947771650396	0.0053291559209724	0.158431089189389	0.158431172253893	0.15843126162409	0.158431172253883	0.0528120211105838	0.0734212078179477	0.0498176268373498	0.0247161265195072	1.796295953032E-08	6.05412900683E-09	3.62906687598E-09	6.0541291464E-09	1.796296001136E-08	6.05412376575E-09	3.62906475119E-09	6.05413765046E-09	1.796296001136E-08	6.05412376575E-09	3.62906475119E-09	6.05413765046E-09	1.796295953032E-08	6.05412900683E-09	3.62906687598E-09	6.0541291464E-09	1.796296001136E-08	6.05413751088E-09	3.62906475119E-09	6.05412390532E-09	1.796296001136E-08	6.05413751088E-09	3.62906475119E-09	6.05412390532E-09	1.0777775910608E-07	3.632478056693E-08	2.177439275672E-08	3.632478140435E-08	0.000323164709176373	0.00010426929485989	6.10278207472297E-05	0.000104269297571478	0.000323164709178202	0.000104269294863551	6.10278207478274E-05	0.000104269297566214	0.000323164709178202	0.000104269294863551	6.10278207478274E-05	0.000104269297566214	0.000323164709176373	0.00010426929485989	6.10278207472297E-05	0.000104269297571478	0.000323164709178202	0.000104269294854626	6.10278207478274E-05	0.00010426929757514	0.000323164709178202	0.000104269294854626	6.10278207478274E-05	0.00010426929757514	0.0289273023575328	0.0086939347792339	0.00487880355310442	0.00869393505362239	0.00193898825506555	0.000625615769156134	0.000366166924485769	0.000625615785425665	0.275967640184881	0.371619272724434	0.245633219388249	0.120871125004799
15	0.121657057759243	0.076311425040557	0.0154118088690228	0.01669638167425	0.00689802361045407	0.00819728753497137	0.0154118098303929	0.0166963824763102	0.0298615607044656	0.000160165861146136	1.08169659224143E-05	0.000160165885695884	0.552012768103607	0.600374590558619	0.862913752936367	0.709823436793827	0.905094032106003	0.799108460751253	0.862913667187995	0.709823375765141	0.193037666007561	0.268493449997437	0.19122697261927	0.113503483510048	0.188352044119	0.266992045284846	0.195868936451057	0.115048546279414	0.188352044119	0.266992045284846	0.195868936451057	0.115048546279414	0.193037666007561	0.268493449997437	0.19122697261927	0.113503483510048	0.197648888131902	0.26692679497343	0.186572092438155	0.115113796590829	0.197648888131902	0.26692679497343	0.186572092438155	0.115113796590829	1.15028701576647	1.32402254916079	1.14640462774423	0.976855240134405	0.0106854861040285	0.0108579628066486	0.0108586201322263	0.0108579628066089	0.0106883173556926	0.0108550023670423	0.0108580718815607	0.0108586304511163	0.0106883173556926	0.0108550023670423	0.0108580718815607	0.0108586304511163	0.0106854861040285	0.0108579628066486	0.0108586201322263	0.0108579628066089	0.0106883173557327	0.0108586304511183	0.0108580718815204	0.0108550023670404	0.0106883173557327	0.0108586304511183	0.0108580718815204	0.0108550023670404	0.200142157348215	0.227969527879878	0.227969625658012	0.227969527879861	0.0551720693410837	0.0728351675755909	0.0473331153578047	0.0246508949743355	1.7173429981623E-07	5.365866470039E-08	3.071764433127E-08	5.36586662657E-08	1.7224733459773E-07	5.350196106251E-08	3.071765110045E-08	5.365897200033E-08	1.7224733459773E-07	5.350196106251E-08	3.071765110045E-08	5.365897200033E-08	1.7173429981623E-07	5.365866470039E-08	3.071764433127E-08	5.36586662657E-08	1.7224733459775E-07	5.3658970435E-08	3.071765110044E-08	5.350196262292E-08	1.7224733459775E-07	5.3658970435E-08	3.071765110044E-08	5.350196262292E-08	1.03245793802343E-06	3.2163919239581E-07	1.8430589306431E-07	3.216392017779E-07	0.000954935891922768	0.000290473182871989	0.000163403879986761	0.000290473192051103	0.000954935553280344	0.000290473301732925	0.000163403879981768	0.000290473176367953	0.000954935553280344	0.000290473301732925	0.000163403879981768	0.000290473176367953	0.000954935891922768	0.000290473182871989	0.000163403879986761	0.000290473192051103	0.000954935553280344	0.000290473167188839	0.000163403879981768	0.000290473310912043	0.000954935553280344	0.000290473167188839	0.000163403879981768	0.000290473310912043	0.0518937483380631	0.0154113142505811	0.00841586347179201	0.0154113148039856	0.00572961399696691	0.00174283930358751	0.000980423279900593	0.0017428393586622	0.298168265837852	0.38589218961909	0.240862777450402	0.126260249826738
20	0.0628645768774592	0.0309184247673574	0.00796344353204988	0.0140502437154173	0.0035642810440846	0.00755351786045479	0.00796344402880122	0.0140502442444196	0.0723543332552051	0.00188939515907952	0.000137172433712478	0.00188939543576857	0.328580963741138	0.503250313392469	0.918397976200512	0.808636457496761	0.943507878257396	0.867517519054212	0.918397066723773	0.808636349574859	0.186910885415615	0.253736982322382	0.183026105489147	0.113591553254597	0.182658467276307	0.252445465947334	0.187224563169175	0.114937030088926	0.182658467276307	0.252445465947334	0.187224563169175	0.114937030088926	0.186910885415615	0.253736982322382	0.183026105489147	0.113591553254597	0.191037779035297	0.252273529732502	0.178845251410185	0.115108966303758	0.191037779035297	0.252273529732502	0.178845251410185	0.115108966303758	1.10893063533341	1.26399864905371	1.10047333062115	0.950190543882179	0.0149905210414548	0.0175134856737181	0.0175163945193408	0.0175134856735372	0.0150014367088935	0.0175009559092418	0.0175140905100263	0.0175164721746204	0.0150014367088935	0.0175009559092418	0.0175140905100263	0.0175164721746204	0.0149905210414548	0.0175134856737181	0.0175163945193408	0.0175134856735372	0.0150014367090664	0.0175164721746299	0.017514090509839	0.0175009559092323	0.0150014367090664	0.0175164721746299	0.017514090509839	0.0175009559092323	0.183604498375152	0.291761976144456	0.291762073969764	0.291761976144432	0.055089717933058	0.0742842503594308	0.045972453762253	0.0253490648988126	7.0585783315036E-07	2.3222991625429E-07	1.2990662749769E-07	2.3222992380402E-07	7.5891512424937E-07	2.1604904782689E-07	1.2990691903466E-07	2.3223406430696E-07	7.5891512424937E-07	2.1604904782689E-07	1.2990691903466E-07	2.3223406430696E-07	7.0585783315036E-07	2.3222991625429E-07	1.2990662749769E-07	2.3222992380402E-07	7.5891512424961E-07	2.3223405675713E-07	1.2990691903462E-07	2.160490548312E-07	7.5891512424961E-07	2.3223405675713E-07	1.2990691903462E-07	2.160490548312E-07	4.44737616329869E-06	1.36102604167662E-06	7.7944093113394E-07	1.36102608588436E-06	0.00183579092706738	0.000563371685308002	0.00031124261388069	0.00056337170466023	0.00183577366902762	0.000563379233941263	0.000311242613790556	0.000563369435731005	0.00183577366902762	0.000563379233941263	0.000311242613790556	0.000563369435731005	0.00183579092706738	0.000563371685308002	0.00031124261388069	0.00056337170466023	0.00183577366902762	0.000563369416378854	0.000311242613790556	0.000563379253293748	0.00183577366902762	0.000563369416378854	0.000311242613790556	0.000563379253293748	0.0661578020243434	0.0214416410303341	0.0116667796768285	0.0214416418210958	0.0110146765302452	0.00338024067125624	0.00186745568292361	0.00338024078736997	0.289558750906458	0.39940774367494	0.234976040415178	0.130436365822366
25	0.0380112184462531	0.0119741324751957	0.00411479466284231	0.00789552625693858	0.00184170132902031	0.00612896621089128	0.004114794920362	0.00789552631003656	0.082105388421301	0.00640407623152353	0.000737916692726702	0.00640407691226442	0.195585058845449	0.36820201862267	0.730981336042903	0.838299483835111	0.966373386949717	0.915068970233387	0.723379822438702	0.835740531097373	0.181110833478284	0.241592855748861	0.175441921585861	0.113304958566233	0.177223336472702	0.240468813197748	0.179291045274593	0.114467374434196	0.177223336472702	0.240468813197748	0.179291045274593	0.114467374434196	0.181110833478284	0.241592855748861	0.175441921585861	0.113304958566233	0.184852001502333	0.24018843516214	0.171662380244963	0.114747752469804	0.184852001502333	0.24018843516214	0.171662380244963	0.114747752469804	1.07265479829167	1.21147180505157	1.06019546236439	0.924381350567795	0.0178688340963394	0.0248758349898979	0.0248843390226671	0.0248758349888032	0.0178942782679318	0.024841967797458	0.0248779188616627	0.0248846085739591	0.0178942782679318	0.024841967797458	0.0248779188616627	0.0248846085739591	0.0178688340963394	0.0248758349898979	0.0248843390226671	0.0248758349888032	0.0178942782683799	0.0248846085745598	0.02487791886111	0.0248419677968575	0.0178942782683799	0.0248846085745598	0.02487791886111	0.0248419677968575	0.168433338933886	0.350283283923001	0.350283385597913	0.350283283834727	0.0535992591648415	0.0759631812635165	0.0445894195302166	0.0256400857662388	1.80057160754465E-06	6.7980684620975E-07	3.7669804173459E-07	6.7980686937859E-07	2.17866341204155E-06	5.6101254465701E-07	3.767003211771E-07	6.7983388554067E-07	2.17866341204155E-06	5.6101254465701E-07	3.767003211771E-07	6.7983388554067E-07	1.80057160754465E-06	6.7980684620975E-07	3.7669804173459E-07	6.7980686937859E-07	2.17866341204968E-06	6.7983386236918E-07	3.7670032117567E-07	5.6101256370573E-07	2.17866341204968E-06	6.7983386236918E-07	3.7670032117567E-07	5.6101256370573E-07	1.23157968632718E-05	3.84130650647186E-06	2.2601973681747E-06	3.84130663724997E-06	0.00277641129553831	0.000891491135261916	0.000492559198358789	0.00089149116635394	0.00277632944707118	0.000891532216318306	0.000492559197821517	0.000891476216145726	0.00277632944707118	0.000891532216318306	0.000492559197821517	0.000891476216145726	0.00277641129553831	0.000891491135261916	0.000492559198358789	0.00089149116635394	0.00277632944707118	0.000891476185054224	0.000492559197821518	0.000891532247411761	0.00277632944707118	0.000891476185054224	0.000492559197821518	0.000891532247411761	0.070852969125563	0.0253172230269918	0.0142963610275012	0.0253172238846972	0.0166581403793613	0.00534899907326889	0.00295535518800365	0.00534899925982285	0.280406922019945	0.412163792148863	0.227777202024789	0.130190960613088
30	0.392951599503595	0.0243573687032189	0.00212615861549584	0.00305413182413683	0.000951626355512909	0.00396148087868651	0.00212615893161872	0.00305413177898838	0.0846197428390307	0.00941992244539447	0.00201304272850579	0.00941992314089854	0.116420363517208	0.251471493542449	0.435254998878036	0.686854695504285	0.979969665516712	0.946587077584083	0.430696297931624	0.68259187004798	0.17547755235429	0.231629432898627	0.168397026391416	0.112547744564846	0.171890606285301	0.230625821708935	0.171983091440609	0.113552236774333	0.171890606285301	0.230625821708935	0.171983091440609	0.113552236774333	0.17547755235429	0.231629432898627	0.168397026391416	0.112547744564846	0.178926808230251	0.230255929888976	0.16494688949566	0.113922128594293	0.178926808230251	0.230255929888976	0.16494688949566	0.113922128594293	1.04005100531504	1.16507866513897	1.02441038610945	0.898770480691615	0.0196541369280247	0.0326249879430724	0.0326438495470263	0.0326249879026807	0.0196986445199444	0.032555323879237	0.0326302392207313	0.0326445016726811	0.0196986445199444	0.032555323879237	0.0326302392207313	0.0326445016726811	0.0196541369280247	0.0326249879430724	0.0326438495470264	0.0326249879026807	0.0196986445207967	0.0326445017120226	0.0326302392195217	0.0325553238399184	0.0196986445207967	0.0326445017120226	0.0326302392195217	0.0325553238399184	0.154515765765448	0.403968358099871	0.403969110120905	0.403968353920402	0.0517936029420745	0.0776013197808656	0.0429632756615942	0.0250329044643961	3.48493667240779E-06	1.54646879263255E-06	8.6054432010647E-07	1.54646884523985E-06	4.79819299841609E-06	1.11857165634199E-06	8.6055449515819E-07	1.54658217207857E-06	4.79819299841609E-06	1.11857165634199E-06	8.6055449515819E-07	1.54658217207857E-06	3.48493667240779E-06	1.54646879263255E-06	8.6054432010647E-07	1.54646884523985E-06	4.79819299945849E-06	1.54658211912509E-06	8.6055449496405E-07	1.11857169456306E-06	4.79819299945849E-06	1.54658211912509E-06	8.6055449496405E-07	1.11857169456306E-06	2.61626453405647E-05	8.42324513619927E-06	5.16330662045744E-06	8.42324542376295E-06	0.00366512838357239	0.0012267630651565	0.000691119304431427	0.00122676310668913	0.00366491723031707	0.00122688024988539	0.000691119302502211	0.00122671637786053	0.00366491723031707	0.00122688024988539	0.000691119302502211	0.00122671637786053	0.00366512838357239	0.0012267630651565	0.000691119304431427	0.00122676310668913	0.00366491723031635	0.00122671633632965	0.000691119302502344	0.00122688029142188	0.00366491723031635	0.00122671633632965	0.000691119302502344	0.00122688029142188	0.0731673169556205	0.0264455673406652	0.0159634869444173	0.0264455681421065	0.0219899256884116	0.00736071930274307	0.00414671581887196	0.00736071955194307	0.270048984415948	0.424010914203648	0.21856665822543	0.124107119667115
35	0.686300511304298	0.0615190448154343	0.00110153811221833	0.00102719153571906	0.000491715299430852	0.00193113823150601	0.00110215686633509	0.00102720218005969	0.120197211706941	0.00968330317698532	0.00319088882265441	0.00968330508346531	0.0692982435442009	0.164886499357611	0.259088687147665	0.497257886564765	0.980746904089408	0.965840636907044	0.256373623614552	0.493428525006471	0.169969889176376	0.223462454656827	0.161764969217308	0.111189606044029	0.16662196083094	0.222538886530557	0.165163918006225	0.112062153726818	0.16662196083094	0.222538886530557	0.165163918006225	0.112062153726818	0.169969889176376	0.223462454656827	0.161764969217308	0.111189606044029	0.173209136837838	0.222097738570533	0.158576741999327	0.112503301686842	0.173209136837838	0.222097738570533	0.158576741999327	0.112503301686842	1.01002415478755	1.12367101900178	0.991849723029319	0.872776617748592	0.0206103464978237	0.0405206550840087	0.0405552483744331	0.0405206544002699	0.0206765059659401	0.0403987180516743	0.040531495645225	0.0405564153751861	0.0206765059659401	0.0403987180516743	0.040531495645225	0.0405564153751861	0.0206103464978237	0.0405206550840087	0.0405552483744332	0.0405206544002699	0.0206765059672694	0.0405564160572252	0.0405314956430558	0.040398717370384	0.0206765059672694	0.0405564160572252	0.0405314956430558	0.040398717370384	0.141748195584095	0.453213548429991	0.453218808517635	0.453213511273463	0.0497728355332066	0.0792327748946673	0.040978703867846	0.0236846887437216	5.70400006204517E-06	2.9477821250388E-06	1.66446135178013E-06	2.94778221260606E-06	8.93578169410965E-06	1.87163903096555E-06	1.66449245588894E-06	2.94813462734264E-06	8.93578169410965E-06	1.87163903096555E-06	1.66449245588894E-06	2.94813462734264E-06	5.70400006204517E-06	2.9477821250388E-06	1.66446135178013E-06	2.94778221260606E-06	8.93578172927377E-06	2.94813452794018E-06	1.66449244908945E-06	1.87163909413058E-06	8.93578172927377E-06	2.94813452794018E-06	1.66449244908945E-06	1.87163909413058E-06	4.71511269708572E-05	1.55351113678891E-05	9.98689251351705E-06	1.55351118681586E-05	0.0045704871218927	0.00153210604904632	0.000887782500786473	0.00153210610019095	0.00457007236400825	0.00153234749417532	0.000887782496111738	0.00153200437178463	0.00457007236400825	0.00153234749417532	0.000887782496111738	0.00153200437178463	0.0045704871218927	0.00153210604904632	0.000887782500786473	0.00153210610019095	0.00457007236398714	0.00153200432064722	0.000887782496115831	0.00153234754532411	0.00457007236398714	0.00153200432064722	0.000887782496115831	0.00153234754532411	0.0842675445136725	0.0259610899076572	0.0165222223827595	0.0259610912624358	0.0274212636997762	0.00919291572773771	0.00532669498602809	0.00919291603459938	0.258440864056941	0.43572132445752	0.206929809430832	0.11482327598786
40	0.837908189988355	0.0893423757969879	0.0333347631328904	0.000921936637149477	0.000254074442876664	0.000757881454323713	0.0390171906221241	0.001035806802302	0.187690557047169	0.0088339835058386	0.00359538626154505	0.00884907027853519	0.0412491974189857	0.105299920960926	0.154233444033167	0.337597149195915	0.919465651056932	0.958104453188066	0.152614384611251	0.334708760906203	0.164548576969461	0.216794528429745	0.155411210354887	0.109214942818068	0.161383054825563	0.215917619805895	0.158690543314788	0.109978040625915	0.161383054825563	0.215917619805895	0.158690543314788	0.109978040625915	0.164548576969461	0.216794528429745	0.155411210354887	0.109214942818068	0.167649341850558	0.215418437984803	0.152424256289794	0.110477222447007	0.167649341850558	0.215418437984803	0.152424256289794	0.110477222447007	0.981886838444725	1.08626882719018	0.96161537793121	0.84604450786685	0.0209433851778596	0.0483853665660152	0.0484411968473967	0.0483853641974813	0.0210340745971466	0.0481890672137458	0.0484049982545574	0.0484429122967065	0.0210340745971466	0.0481890672137458	0.0484049982545574	0.0484429122967065	0.0209433851778596	0.0483853665660152	0.0484411968473967	0.0483853641974813	0.0210340746223423	0.0484429146113846	0.0484049981982113	0.0481890649043203	0.0210340746223423	0.0484429146113846	0.0484049981982113	0.0481890649043203	0.130035604145709	0.498391021435053	0.498399025962727	0.498390955737153	0.0475543309627663	0.0809558160734455	0.0386532742544155	0.0220301467455662	8.43658612720278E-06	4.94573152162942E-06	2.84525231367987E-06	4.94573351280994E-06	1.50119899095825E-05	2.77176661512094E-06	2.84532347136391E-06	4.94662447499116E-06	1.50119899095825E-05	2.77176661512094E-06	2.84532347136391E-06	4.94662447499116E-06	8.43658612720278E-06	4.94573152162942E-06	2.84525231367987E-06	4.94573351280994E-06	1.50119901667541E-05	4.94662239867936E-06	2.845323421799E-06	2.77176755193502E-06	1.50119901667541E-05	4.94662239867936E-06	2.845323421799E-06	2.77176755193502E-06	7.69211324070788E-05	2.53282410708594E-05	1.70717984136856E-05	2.53282510794722E-05	0.00561896724698577	0.00179373202223759	0.00106669127111542	0.00179374442865601	0.00561825458413127	0.00179414118296441	0.00106669126259847	0.00179356568949119	0.00561825458413127	0.00179414118296441	0.00106669126259847	0.00179356568949119	0.00561896724698577	0.00179373202223759	0.00106669127111542	0.00179374442865601	0.0056182545840113	0.00179355328320874	0.00106669126262151	0.00179415359015115	0.0056182545840113	0.00179355328320874	0.00106669126262151	0.00179415359015115	0.100548798034622	0.0249297836375126	0.0162751753823737	0.0249364807213787	0.0337109528302567	0.0107628529768215	0.00640014759267079	0.0107629274165967	0.245664710121641	0.447901568698424	0.193441075163936	0.104951263032176
45	0.916245465237164	0.105804424384568	0.469482896947586	0.0296510618554158	0.000131282926352288	0.000264313408786413	0.476778354209979	0.0305417150953021	0.268898687209888	0.0208403004843579	0.00341641716737441	0.0215334016655678	0.0245532383028609	0.0660446331169685	0.0918122873719693	0.220537808743426	0.871899171162465	0.920158317765461	0.0908467431254823	0.218530253709432	0.159177548312687	0.21140920917787	0.149240859058829	0.106770814786817	0.156146499208286	0.210550880580919	0.15245981122542	0.107441240321577	0.156146499208286	0.210550880580919	0.15245981122542	0.107441240321577	0.159177548312687	0.21140920917787	0.149240859058829	0.106770814786817	0.162201801293289	0.210002643870391	0.146404509140417	0.107989477032105	0.162201801293289	0.210002643870391	0.146404509140417	0.107989477032105	0.955435811851421	1.05214164339316	0.933369486501595	0.81864364627104	0.0208138404252409	0.0559426010171645	0.0561732259616897	0.0559207805122322	0.0209326997401945	0.0556419853303477	0.0561227285486085	0.0560061362785069	0.0209326997401945	0.0556419853303477	0.0561227285486085	0.0560061362785069	0.0208138404252409	0.0559426010171645	0.0561732259616897	0.0559207805122322	0.0209327093441532	0.056027935377548	0.0561227036740123	0.0556202026425748	0.0209327093441532	0.056027935377548	0.0561227036740123	0.0556202026425748	0.119290819017923	0.514040207689915	0.539846019663336	0.512170034500508	0.0451593405454577	0.0829739644818678	0.0361241688990278	0.0211674882272996	1.16816719492909E-05	7.56300224265575E-06	4.42555449150104E-06	7.56370960463532E-06	2.35529285343517E-05	3.76403089195897E-06	4.42511361312914E-06	7.56683620889248E-06	2.35529285343517E-05	3.76403089195897E-06	4.42511361312914E-06	7.56683620889248E-06	1.16816719492909E-05	7.56300224265575E-06	4.42555449150104E-06	7.56370960463532E-06	2.35536530101932E-05	7.56590975936945E-06	4.42498291678762E-06	3.76438907385933E-06	2.35536530101932E-05	7.56590975936945E-06	4.42498291678762E-06	3.76438907385933E-06	0.000117576506987672	3.77858857879683E-05	2.65513020428356E-05	3.77898697747742E-05	0.00681685272936639	0.00203638364105158	0.001220105935712	0.00203819329321013	0.00681573229872766	0.00203699706335784	0.00122010628673826	0.00203791818546048	0.00681573229872766	0.00203699706335784	0.00122010628673826	0.00203791818546048	0.00681685272936639	0.00203638364105158	0.001220105935712	0.00203819329321013	0.00681573170985824	0.002036108738621	0.00122010639288813	0.00203880688925493	0.00681573170985824	0.002036108738621	0.00122010639288813	0.00203880688925493	0.114349814205206	0.0287866835098047	0.0156488506469314	0.0290322795227981	0.0408966334759046	0.0122189788860608	0.00732063723067677	0.0122298367358511	0.231888265713306	0.462737761748032	0.179124741365298	0.105889051538708
